iter	RMSE
0	11329.37585
1	10991.20228
2	10685.03126
3	10385.67738
4	10131.51445
5	9879.721892
6	9619.32019
7	9389.203825
8	9130.880392
9	8887.128028
10	8670.985691
11	8454.202656
12	8251.638715
13	8058.519864
14	7867.167801
15	7694.131125
16	7527.367243
17	7361.136372
18	7192.827961
19	7041.720349
20	6905.063242
21	6764.658932
22	6639.129089
23	6517.624604
24	6406.41852
25	6294.041516
26	6187.334388
27	6091.218384
28	5998.542798
29	5896.937051
30	5804.499434
31	5724.10332
32	5652.884145
33	5583.041055
34	5521.599105
35	5453.541115
36	5393.775815
37	5327.539825
38	5268.944974
39	5216.549296
40	5164.199014
41	5114.457792
42	5072.093459
43	5022.418481
44	4978.610415
45	4942.808714
46	4905.554982
47	4866.406269
48	4829.330075
49	4799.180563
50	4765.597169
51	4734.393812
52	4711.853687
53	4683.535816
54	4657.860024
55	4631.37821
56	4609.679001
57	4589.984101
58	4567.9784
59	4547.474905
60	4527.200315
61	4510.228528
62	4493.274456
63	4477.480371
64	4461.941
65	4444.636634
66	4429.479799
67	4422.859369
68	4414.196455
69	4401.108011
70	4386.307203
71	4370.532894
72	4357.541319
73	4347.17865
74	4334.170926
75	4325.514122
76	4315.768013
77	4310.13865
78	4302.796085
79	4293.472459
80	4285.539664
81	4278.892443
82	4273.437992
83	4264.982559
84	4257.989779
85	4251.826667
86	4242.289898
87	4235.199973
88	4226.29387
89	4219.578593
90	4213.951536
91	4206.130558
92	4199.459589
93	4195.478003
94	4189.119132
95	4182.949692
96	4177.779209
97	4169.513652
98	4161.929845
99	4156.681246
100	4151.360725
101	4145.514267
102	4140.27597
103	4132.796789
104	4127.487178
105	4124.062335
106	4117.60971
107	4114.551326
108	4108.777648
109	4101.900858
110	4097.56194
111	4090.781214
112	4088.685911
113	4084.497481
114	4078.454703
115	4073.467024
116	4072.869169
117	4068.190531
118	4063.917937
119	4058.314323
120	4055.681805
121	4052.65243
122	4050.059175
123	4043.991827
124	4041.003802
125	4035.926737
126	4032.336846
127	4026.052063
128	4022.789634
129	4016.343078
130	4015.202481
131	4010.000056
132	4007.640128
133	4007.024024
134	4004.083771
135	4000.032541
136	3995.727212
137	3992.980324
138	3989.005091
139	3986.021417
140	3982.922449
141	3981.479515
142	3978.233657
143	3973.408207
144	3969.973044
145	3969.143421
146	3966.542763
147	3962.893852
148	3959.180829
149	3957.128667
150	3951.51342
151	3946.932266
152	3943.626723
153	3935.252564
154	3930.47214
155	3924.151155
156	3918.338139
157	3915.712145
158	3913.503832
159	3909.667447
160	3908.148913
161	3905.75741
162	3903.96297
163	3902.18611
164	3897.317176
165	3893.576343
166	3891.176012
167	3886.141903
168	3884.311318
169	3882.295173
170	3877.383697
171	3875.874916
172	3870.269444
173	3866.043154
174	3861.151208
175	3858.932788
176	3855.527452
177	3852.310703
178	3850.463394
179	3847.614753
180	3844.986552
181	3843.248464
182	3839.76872
183	3831.456192
184	3829.107813
185	3826.107267
186	3822.884331
187	3819.211776
188	3817.793749
189	3814.417767
190	3813.282832
191	3810.112983
192	3809.158103
193	3807.54281
194	3806.456692
195	3804.414106
196	3801.339998
197	3800.276468
198	3798.10603
199	3796.557711
200	3792.873036
201	3788.964971
202	3787.501307
203	3781.723454
204	3779.074902
205	3776.874211
206	3775.2725
207	3772.925324
208	3769.421551
209	3766.789548
210	3761.928331
211	3760.341596
212	3758.608938
213	3753.866943
214	3752.505623
215	3750.766185
216	3748.589342
217	3744.053459
218	3742.091762
219	3736.177946
220	3731.378491
221	3728.770446
222	3726.549194
223	3723.852679
224	3721.789975
225	3718.809737
226	3715.642077
227	3712.441499
228	3709.326951
229	3708.198773
230	3706.273267
231	3704.343914
232	3702.019649
233	3700.028253
234	3698.049632
235	3694.208898
236	3692.438083
237	3691.047652
238	3689.512442
239	3687.425211
240	3685.652255
241	3683.356075
242	3680.020798
243	3675.257415
244	3673.772227
245	3671.519728
246	3670.025047
247	3665.975882
248	3664.988986
249	3662.78183
250	3660.236097
251	3659.560353
252	3657.542295
253	3655.615349
254	3650.531695
255	3647.716915
256	3646.514188
257	3645.511445
258	3639.247134
259	3636.733042
260	3635.303416
261	3633.495754
262	3629.450722
263	3627.524955
264	3624.452203
265	3623.49955
266	3622.105091
267	3620.356087
268	3619.805027
269	3616.950574
270	3615.60094
271	3614.446663
272	3612.958627
273	3611.142604
274	3609.498779
275	3607.873849
276	3605.835609
277	3603.879985
278	3600.346575
279	3598.906989
280	3597.407828
281	3595.735533
282	3594.106232
283	3592.268894
284	3591.076154
285	3589.451588
286	3586.841979
287	3585.147454
288	3582.826357
289	3582.208671
290	3576.300478
291	3572.194394
292	3570.844646
293	3570.295842
294	3568.762431
295	3565.919366
296	3562.072661
297	3559.43036
298	3558.961209
299	3554.792641
300	3553.923408
301	3552.272069
302	3549.200511
303	3547.970664
304	3546.289681
305	3542.904452
306	3541.735897
307	3540.076276
308	3538.729764
309	3537.532522
310	3532.184581
311	3531.065994
312	3529.520467
313	3528.125271
314	3526.767784
315	3525.198309
316	3521.652219
317	3520.629815
318	3516.520527
319	3511.54967
320	3510.24046
321	3508.098931
322	3506.856128
323	3505.02189
324	3500.320342
325	3496.924081
326	3494.336397
327	3492.732712
328	3491.487384
329	3488.339868
330	3486.787059
331	3484.818274
332	3483.324192
333	3482.056315
334	3480.530211
335	3479.074697
336	3477.650367
337	3476.375816
338	3474.957856
339	3473.71121
340	3471.716661
341	3469.098402
342	3467.771697
343	3466.435857
344	3462.315551
345	3461.284559
346	3459.866676
347	3458.708119
348	3457.538815
349	3455.42038
350	3454.307985
351	3453.309823
352	3450.64467
353	3446.712396
354	3444.595525
355	3439.711034
356	3435.244194
357	3434.240866
358	3433.109523
359	3429.674907
360	3426.702124
361	3422.487461
362	3421.382337
363	3418.226946
364	3416.396006
365	3411.952465
366	3409.828448
367	3406.143058
368	3402.300849
369	3401.406146
370	3400.341936
371	3399.301234
372	3398.441014
373	3397.597493
374	3396.105865
375	3392.944772
376	3391.718748
377	3390.379166
378	3389.380982
379	3385.704677
380	3384.82107
381	3383.911578
382	3382.836917
383	3380.910835
384	3380.141296
385	3379.391452
386	3378.874131
387	3375.60293
388	3374.090755
389	3371.324748
390	3368.032905
391	3367.124768
392	3366.402961
393	3365.21588
394	3362.834839
395	3361.250489
396	3359.730047
397	3357.953864
398	3356.847957
399	3352.95649
400	3352.093052
401	3348.667223
402	3348.172576
403	3345.49183
404	3344.72752
405	3344.025538
406	3341.280502
407	3338.011181
408	3335.748835
409	3333.570913
410	3329.5217
411	3328.698484
412	3327.923595
413	3327.285244
414	3324.098947
415	3323.391223
416	3322.779334
417	3319.842191
418	3318.828087
419	3318.142936
420	3317.550004
421	3316.893174
422	3316.149901
423	3315.52146
424	3314.507914
425	3312.576621
426	3312.032467
427	3310.842459
428	3310.310968
429	3309.64341
430	3305.62239
431	3302.736347
432	3302.138217
433	3299.020459
434	3298.466445
435	3297.892311
436	3297.24766
437	3296.685635
438	3294.751407
439	3291.388639
440	3288.127717
441	3287.57091
442	3286.546124
443	3285.907573
444	3284.262251
445	3283.798121
446	3280.098356
447	3276.977826
448	3276.459601
449	3275.283829
450	3271.644285
451	3271.034251
452	3270.521398
453	3269.15494
454	3266.464905
455	3266.023811
456	3262.629925
457	3262.102612
458	3259.27286
459	3255.369677
460	3253.370862
461	3249.968986
462	3246.431816
463	3245.625185
464	3245.028479
465	3242.301497
466	3241.717841
467	3240.712479
468	3239.380087
469	3238.816395
470	3238.260449
471	3236.379839
472	3234.213315
473	3233.287028
474	3232.600477
475	3230.25029
476	3229.720433
477	3228.788914
478	3228.265652
479	3225.107985
480	3222.031246
481	3220.207731
482	3219.670325
483	3219.445001
484	3218.316867
485	3217.421439
486	3215.295648
487	3214.79294
488	3214.36124
489	3213.872221
490	3213.129289
491	3212.211385
492	3209.534546
493	3208.993484
494	3205.773115
495	3202.764483
496	3202.221164
497	3201.808096
498	3198.951407
499	3197.960485
500	3197.100024
501	3193.604668
502	3188.698938
503	3187.843381
504	3186.299253
505	3183.082666
506	3181.605941
507	3180.472474
508	3177.678977
509	3177.180999
510	3176.716729
511	3173.572761
512	3170.382293
513	3167.202056
514	3164.670048
515	3161.410385
516	3158.024774
517	3155.586417
518	3152.389005
519	3149.771177
520	3149.341788
521	3148.927955
522	3145.99885
523	3144.894002
524	3143.24265
525	3140.276592
526	3139.547893
527	3138.063716
528	3134.699848
529	3134.107389
530	3132.84452
531	3130.896831
532	3130.553755
533	3130.299218
534	3128.642014
535	3128.016371
536	3125.590688
537	3123.375293
538	3122.264189
539	3121.812844
540	3120.679539
541	3118.780476
542	3115.341114
543	3112.716402
544	3110.666393
545	3110.233889
546	3107.650418
547	3105.603274
548	3104.889507
549	3103.917678
550	3101.99125
551	3099.705409
552	3097.547404
553	3095.906399
554	3092.576107
555	3090.283747
556	3087.933138
557	3085.846186
558	3084.941997
559	3084.331096
560	3081.944223
561	3081.469315
562	3081.073571
563	3080.689982
564	3078.381693
565	3078.010128
566	3076.316394
567	3075.431496
568	3072.981372
569	3070.400488
570	3067.976034
571	3065.377135
572	3061.220726
573	3059.721965
574	3057.688399
575	3056.707317
576	3054.933925
577	3052.838271
578	3050.769982
