iter	Passed	Remaining
0	147	147790
1	149	74828
2	152	50793
3	156	38979
4	158	31552
5	161	26806
6	164	23400
7	169	21015
8	172	19007
9	177	17574
10	182	16423
11	187	15449
12	192	14605
13	196	13823
14	200	13146
15	204	12591
16	208	12061
17	213	11653
18	217	11214
19	220	10795
20	225	10494
21	229	10191
22	233	9913
23	238	9684
24	240	9388
25	245	9180
26	248	8938
27	251	8723
28	255	8563
29	258	8347
30	262	8195
31	265	8031
32	270	7915
33	272	7737
34	274	7574
35	278	7447
36	282	7345
37	285	7237
38	290	7156
39	293	7032
40	297	6954
41	299	6821
42	303	6751
43	306	6660
44	311	6613
45	316	6560
46	319	6484
47	324	6426
48	326	6343
49	329	6259
50	332	6180
51	335	6125
52	337	6032
53	340	5958
54	344	5914
55	348	5876
56	351	5822
57	357	5798
58	362	5776
59	365	5722
60	369	5681
61	372	5640
62	377	5607
63	380	5566
64	384	5529
65	387	5481
66	392	5461
67	393	5387
68	394	5326
69	398	5292
70	402	5265
71	405	5230
72	410	5206
73	413	5170
74	417	5149
75	421	5121
76	425	5105
77	427	5058
78	430	5022
79	433	4981
80	438	4973
81	442	4957
82	445	4919
83	449	4904
84	453	4878
85	457	4859
86	460	4837
87	465	4826
88	469	4809
89	473	4787
90	477	4768
91	480	4746
92	485	4736
93	488	4704
94	493	4697
95	495	4664
96	499	4649
97	503	4631
98	506	4609
99	510	4594
100	513	4571
101	517	4558
102	521	4541
103	525	4526
104	529	4514
105	533	4496
106	537	4489
107	541	4472
108	545	4460
109	548	4437
110	552	4425
111	556	4412
112	558	4385
113	561	4360
114	564	4346
115	567	4323
116	570	4302
117	572	4282
118	577	4271
119	580	4258
120	584	4249
121	587	4229
122	591	4218
123	594	4199
124	599	4193
125	603	4183
126	606	4166
127	611	4162
128	613	4144
129	618	4136
130	624	4143
131	631	4149
132	638	4161
133	640	4139
134	646	4141
135	650	4135
136	655	4131
137	661	4129
138	664	4118
139	669	4113
140	674	4110
141	677	4094
142	681	4084
143	687	4086
144	690	4072
145	692	4052
146	697	4045
147	701	4038
148	705	4028
149	708	4012
150	713	4008
151	716	3996
152	720	3986
153	724	3982
154	728	3972
155	733	3968
156	736	3955
157	740	3944
158	743	3931
159	747	3925
160	751	3917
161	755	3906
162	760	3902
163	763	3891
164	767	3881
165	770	3872
166	774	3860
167	777	3851
168	781	3840
169	785	3833
170	788	3824
171	791	3812
172	795	3803
173	799	3795
174	802	3784
175	806	3776
176	809	3765
177	814	3761
178	819	3756
179	823	3749
180	826	3740
181	830	3732
182	835	3729
183	838	3720
184	842	3710
185	846	3704
186	849	3695
187	854	3689
188	858	3682
189	863	3681
190	868	3680
191	874	3679
192	877	3668
193	881	3660
194	884	3649
195	889	3647
196	891	3635
197	896	3631
198	899	3620
199	903	3615
200	906	3605
201	910	3595
202	914	3589
203	917	3578
204	921	3572
205	924	3561
206	928	3557
207	932	3549
208	936	3545
209	940	3538
210	944	3531
211	951	3538
212	956	3533
213	959	3523
214	964	3522
215	968	3514
216	972	3507
217	977	3505
218	981	3498
219	986	3497
220	992	3498
221	997	3494
222	1000	3486
223	1005	3484
224	1010	3481
225	1014	3475
226	1020	3473
227	1023	3466
228	1027	3458
229	1032	3456
230	1036	3448
231	1040	3445
232	1045	3441
233	1048	3432
234	1053	3431
235	1057	3423
236	1061	3417
237	1064	3407
238	1068	3403
239	1073	3400
240	1077	3392
241	1081	3388
242	1086	3385
243	1089	3376
244	1094	3372
245	1097	3362
246	1101	3358
247	1105	3351
248	1110	3348
249	1114	3344
250	1118	3337
251	1123	3334
252	1128	3332
253	1131	3322
254	1135	3318
255	1139	3312
256	1143	3306
257	1147	3301
258	1151	3293
259	1155	3289
260	1159	3282
261	1164	3279
262	1169	3276
263	1172	3268
264	1177	3264
265	1179	3255
266	1184	3251
267	1187	3242
268	1192	3241
269	1197	3237
270	1200	3228
271	1204	3223
272	1207	3214
273	1211	3210
274	1214	3201
275	1219	3198
276	1222	3190
277	1227	3186
278	1229	3178
279	1234	3174
280	1239	3172
281	1244	3167
282	1248	3161
283	1252	3158
284	1256	3152
285	1260	3146
286	1264	3141
287	1267	3133
288	1272	3129
289	1274	3121
290	1279	3117
291	1282	3109
292	1287	3107
293	1291	3101
294	1295	3095
295	1300	3092
296	1303	3084
297	1307	3079
298	1310	3072
299	1315	3068
300	1317	3060
301	1322	3056
302	1326	3050
303	1329	3043
304	1333	3038
305	1336	3031
306	1341	3027
307	1343	3019
308	1348	3015
309	1351	3007
310	1356	3004
311	1358	2996
312	1363	2992
313	1366	2985
314	1370	2979
315	1373	2972
316	1376	2966
317	1381	2961
318	1384	2954
319	1387	2948
320	1391	2942
321	1396	2940
322	1399	2932
323	1404	2930
324	1408	2925
325	1411	2919
326	1416	2915
327	1419	2908
328	1424	2904
329	1427	2897
330	1431	2893
331	1434	2886
332	1439	2882
333	1443	2878
334	1446	2872
335	1451	2869
336	1454	2861
337	1458	2856
338	1461	2849
339	1466	2846
340	1468	2838
341	1473	2834
342	1477	2829
343	1481	2825
344	1485	2820
345	1488	2813
346	1493	2810
347	1496	2803
348	1499	2797
349	1502	2790
350	1508	2788
351	1510	2781
352	1515	2777
353	1518	2770
354	1522	2766
355	1525	2760
356	1528	2753
357	1532	2748
358	1536	2742
359	1541	2739
360	1544	2733
361	1548	2729
362	1552	2724
363	1556	2719
364	1561	2716
365	1563	2708
366	1568	2704
367	1571	2698
368	1575	2694
369	1578	2687
370	1583	2684
371	1585	2676
372	1589	2672
373	1592	2665
374	1596	2661
375	1599	2653
376	1604	2650
377	1606	2643
378	1611	2640
379	1614	2634
380	1618	2629
381	1621	2624
382	1625	2619
383	1630	2615
384	1632	2608
385	1637	2605
386	1640	2599
387	1645	2595
388	1648	2588
389	1652	2585
390	1655	2578
391	1659	2574
392	1662	2567
393	1667	2564
394	1670	2559
395	1674	2553
396	1678	2548
397	1680	2542
398	1684	2536
399	1687	2530
400	1691	2526
401	1694	2520
402	1698	2516
403	1701	2510
404	1706	2507
405	1709	2500
406	1714	2497
407	1716	2491
408	1721	2487
409	1724	2481
410	1728	2477
411	1731	2471
412	1735	2466
413	1738	2460
414	1742	2456
415	1745	2450
416	1748	2444
417	1752	2439
418	1756	2436
419	1761	2432
420	1764	2426
421	1768	2422
422	1771	2416
423	1775	2412
424	1779	2407
425	1783	2402
426	1787	2398
427	1790	2393
428	1795	2389
429	1798	2383
430	1802	2379
431	1805	2373
432	1809	2370
433	1812	2364
434	1817	2360
435	1822	2356
436	1825	2351
437	1830	2348
438	1832	2341
439	1837	2338
440	1842	2334
441	1846	2330
442	1851	2328
443	1853	2321
444	1858	2317
445	1860	2310
446	1864	2306
447	1867	2300
448	1871	2297
449	1874	2290
450	1879	2287
451	1882	2282
452	1886	2278
453	1889	2272
454	1893	2268
455	1897	2264
456	1900	2258
457	1904	2254
458	1908	2249
459	1912	2245
460	1915	2239
461	1919	2235
462	1931	2239
463	1938	2238
464	1944	2237
465	1949	2234
466	1953	2229
467	1957	2224
468	1961	2220
469	1968	2219
470	1976	2219
471	1981	2216
472	1985	2211
473	1988	2206
474	1992	2202
475	1996	2197
476	1999	2192
477	2003	2188
478	2007	2184
479	2012	2180
480	2016	2175
481	2020	2171
482	2024	2166
483	2027	2161
484	2031	2157
485	2035	2152
486	2038	2146
487	2043	2143
488	2046	2138
489	2050	2133
490	2053	2128
491	2056	2123
492	2060	2118
493	2064	2114
494	2068	2110
495	2072	2105
496	2077	2102
497	2080	2096
498	2084	2092
499	2087	2087
500	2091	2082
501	2094	2077
502	2098	2073
503	2102	2068
504	2105	2063
505	2108	2058
506	2111	2053
507	2114	2048
508	2119	2044
509	2121	2038
510	2125	2034
511	2128	2029
512	2133	2025
513	2136	2020
514	2139	2015
515	2144	2011
516	2148	2006
517	2152	2002
518	2155	1997
519	2158	1992
520	2161	1986
521	2165	1982
522	2167	1977
523	2172	1973
524	2174	1967
525	2179	1963
526	2181	1957
527	2186	1954
528	2189	1949
529	2192	1944
530	2195	1939
531	2199	1935
532	2202	1929
533	2205	1924
534	2208	1919
535	2211	1914
536	2214	1909
537	2217	1904
538	2220	1899
539	2223	1894
540	2227	1890
541	2231	1885
542	2234	1880
